yyyymm,dd-mmm-yy,Canada,Japan,UK,US,Europe
201203,30-Mar-12,489.9134264,100.6523179,234.059332,356.0836505,347.6533611
201206,29-Jun-12,445.0685938,93.60193412,221.93525,342.9455584,309.3108545
201209,28-Sep-12,490.6533413,92.2740303,236.8876507,362.4275363,338.2525859
201212,31-Dec-12,489.053137,96.86113533,245.9556963,361.2086753,366.8571501
201303,29-Mar-13,489.9860938,107.846234,251.4265188,399.1302311,376.5817975
201306,28-Jun-13,449.7330797,111.1405294,244.6274207,408.1390355,373.4100488
201309,30-Sep-13,487.7676196,118.7196418,273.3160247,431.1466446,428.389127
201312,31-Dec-13,503.6257498,120.8010549,293.1331735,472.3671486,463.4953654
201403,31-Mar-14,510.5504302,113.9181464,290.1535352,479.5290802,481.7502926
201406,30-Jun-14,560.2809674,121.8077421,301.6781221,500.4980743,484.8405391
201409,30-Sep-14,525.7356114,118.1294006,280.489918,497.8970017,446.4964387
201412,31-Dec-14,492.8674303,115.0343677,269.2177667,521.3915475,427.5468166
201503,31-Mar-15,459.135265,125.6197407,265.4527991,528.2789682,449.9979059
201506,30-Jun-15,455.5398078,129.5964568,273.7664013,526.440483,442.4480481
201509,30-Sep-15,384.6257491,114.6703004,245.8608467,485.8140836,408.2953513
201512,31-Dec-15,363.8996247,125.0326889,246.3784965,513.632339,422.6157805
201603,31-Mar-16,404.2888353,117.1041694,237.3322122,515.6048906,411.6232804
201606,30-Jun-16,421.7177723,118.8472325,229.1702505,526.3184191,390.4806581
201609,30-Sep-16,437.7728854,127.7181953,237.1476531,546.8856548,415.2727973
201612,30-Dec-16,446.0027768,127.0326979,232.5544729,566.5384909,412.0280146
201703,31-Mar-17,456.3350818,132.3665477,242.1766148,596.5361543,445.1193898
201706,30-Jun-17,456.9385727,139.3584404,251.9422079,611.5670789,478.0699833
201709,29-Sep-17,489.4198617,144.517741,263.2273226,636.5094791,511.5712672
201712,29-Dec-17,507.3135305,156.7037201,276.7936333,673.6158457,516.3262868
201803,30-Mar-18,467.3190568,157.0363748,263.9294916,666.5377728,509.2091488
201806,29-Jun-18,486.2857459,152.3294112,268.5134806,689.1000223,487.8718209
201809,5-Sep-18,480.0328299,149.0076056,255.2633656,730.9503877,486.4237432
